Date,Open,High,Low,Close
31-12-2014,8243.9,8291,8243.75,8282.7
30-12-2014,8260.3,8268.25,8220.55,8248.2
29-12-2014,8214.7,8279.15,8214.7,8246.3
26-12-2014,8204.8,8234.55,8147.95,8200.7
24-12-2014,8272.05,8286.4,8155.25,8174.1
23-12-2014,8324.6,8364.75,8252.85,8267
22-12-2014,8255,8330.95,8228.2,8324
19-12-2014,8230.45,8263.45,8208.6,8225.2
18-12-2014,8138.9,8174.3,8084.9,8159.3
17-12-2014,8041.2,8082,7961.35,8029.8
16-12-2014,8172.6,8189.35,8052.6,8067.6
15-12-2014,8160.75,8242.4,8152.5,8219.6
12-12-2014,8302,8321.9,8216.3,8224.1
11-12-2014,8338.85,8348.3,8272.4,8292.9
10-12-2014,8318.05,8376.8,8317,8355.6
09-12-2014,8439.3,8444.5,8330.5,8340.7
08-12-2014,8538.65,8546.35,8432.25,8438.2
05-12-2014,8584.25,8588.35,8523.9,8538.3
04-12-2014,8582.4,8626.95,8526.4,8564.4
03-12-2014,8528.7,8546.95,8508.35,8537.6
02-12-2014,8535.45,8560.2,8504.65,8524.7
01-12-2014,8605.1,8623,8545.15,8555.9
28-11-2014,8516.8,8617,8516.25,8588.2
27-11-2014,8477.8,8506.75,8456.35,8494.2
26-11-2014,8450.3,8500.3,8438.65,8475.7
25-11-2014,8530.8,8535.35,8429.45,8463.1
24-11-2014,8490.95,8534.65,8490.8,8530.1
21-11-2014,8408.2,8489.8,8398.6,8477.3
20-11-2014,8406.5,8410.85,8353.15,8401.9
19-11-2014,8440.65,8455.65,8360.5,8382.3
18-11-2014,8441.25,8454.5,8407.25,8425.9
17-11-2014,8378.4,8438.1,8349.1,8430.7
14-11-2014,8360.7,8400.65,8346.8,8389.9
13-11-2014,8405.25,8408,8320.35,8357.8
12-11-2014,8378.9,8415.05,8370.5,8383.3
11-11-2014,8354.1,8378.7,8321.85,8362.6
10-11-2014,8337.8,8383.05,8304.45,8344.2
07-11-2014,8331.85,8360.35,8290.25,8337
05-11-2014,8351.25,8365.55,8323.5,8338.3
03-11-2014,8348.15,8350.6,8297.65,8324.1
31-10-2014,8200.8,8330.75,8198.05,8322.2
30-10-2014,8085.2,8181.55,8085.2,8169.2
29-10-2014,8077.05,8097.95,8052.25,8090.4
28-10-2014,8002.4,8037.8,7995.05,8027.6
27-10-2014,8064.35,8064.4,7985.65,7991.7
23-10-2014,8027.7,8031.75,8008.85,8014.5
22-10-2014,7997.8,8005,7974.55,7995.9
21-10-2014,7906.15,7936.6,7874.35,7927.7
20-10-2014,7896.95,7905.95,7856.95,7879.4
17-10-2014,7733.75,7819.2,7723.85,7779.7
16-10-2014,7837.3,7893.9,7729.65,7748.2
14-10-2014,7923.25,7928,7825.45,7864
13-10-2014,7831,7901.15,7796,7884.2
10-10-2014,7911,7924.05,7848.45,7859.9
09-10-2014,7886.5,7972.35,7886.5,7960.5
08-10-2014,7828.75,7869.9,7815.75,7842.7
07-10-2014,7897.4,7943.05,7842.7,7852.4
01-10-2014,7960.5,7977.5,7936.7,7945.5
30-09-2014,7948.8,8030.9,7923.85,7964.8
29-09-2014,7978.45,7991.75,7934.7,7958.9
26-09-2014,7885.85,7993.3,7841.8,7968.8
25-09-2014,8003.3,8019.3,7877.35,7911.8
24-09-2014,8015.55,8042.05,7950.05,8002.4
23-09-2014,8144.4,8159.75,8008.1,8017.5
22-09-2014,8084.45,8159.9,8064.8,8146.3
19-09-2014,8129.4,8160.9,8105.35,8121.4
18-09-2014,7950.65,8120.85,7939.7,8114.7
17-09-2014,7971.5,7990.65,7936.95,7975.5
16-09-2014,8036.6,8044.9,7925.15,7932.9
15-09-2014,8070.35,8077.3,8030,8042
12-09-2014,8087.05,8114.3,8071.6,8105.5
11-09-2014,8115.15,8127.95,8057.3,8085.7
10-09-2014,8135.55,8135.75,8082.1,8094.1
09-09-2014,8161.9,8174.55,8126.5,8152.9
08-09-2014,8132.95,8180.2,8126.15,8173.9
05-09-2014,8099.9,8122.7,8049.85,8086.8
04-09-2014,8114.2,8114.8,8060.9,8095.9
03-09-2014,8110.85,8141.9,8092.25,8114.6
02-09-2014,8038.6,8101.95,8036.55,8083
01-09-2014,7990.35,8035,7984,8027.7
28-08-2014,7942.25,7967.8,7939.2,7954.3
27-08-2014,7933.9,7946.85,7916.55,7936
26-08-2014,7874.5,7915.45,7862.45,7904.7
25-08-2014,7931.75,7968.25,7897.95,7906.3
22-08-2014,7904.55,7929.05,7900.05,7913.2
21-08-2014,7875.35,7919.65,7855.95,7891.1
20-08-2014,7915.8,7922.7,7864.05,7875.3
19-08-2014,7901,7918.55,7881.15,7897.5
18-08-2014,7785.25,7880.5,7779.2,7874.2
14-08-2014,7756.15,7796.7,7739.1,7791.7
13-08-2014,7717.3,7757.1,7695.7,7739.5
12-08-2014,7688.8,7735.75,7654.8,7727
11-08-2014,7619.85,7635.55,7598.6,7625.9
08-08-2014,7588.7,7592.45,7540.1,7568.5
07-08-2014,7651.15,7708.95,7630.4,7649.2
06-08-2014,7726.15,7740.95,7658.95,7672
05-08-2014,7706.65,7752.45,7638.05,7746.5
04-08-2014,7639.55,7694.8,7622.05,7683.6
01-08-2014,7662.5,7716.7,7593.9,7602.6
31-07-2014,7784.65,7791.85,7711.15,7721.3
30-07-2014,7746.2,7798.7,7707.6,7791.4
28-07-2014,7792.9,7799.9,7722.65,7748.7
25-07-2014,7828.2,7840.95,7748.6,7790.4
24-07-2014,7796.25,7835.65,7771.65,7830.6
23-07-2014,7794.9,7809.2,7752.9,7795.7
22-07-2014,7708.2,7773.85,7704.8,7767.8
21-07-2014,7701.65,7722.1,7674,7684.2
18-07-2014,7630.25,7685,7595.5,7663.9
17-07-2014,7612.7,7655.65,7612.7,7640.4
16-07-2014,7564.15,7640.1,7532.45,7624.4
15-07-2014,7491.3,7534.9,7459.15,7526.6
14-07-2014,7469,7478.45,7422.15,7454.1
11-07-2014,7584.1,7625.85,7447.2,7459.6
10-07-2014,7589.5,7731.05,7479.05,7567.7
09-07-2014,7637.95,7650.1,7551.65,7585
08-07-2014,7804.05,7808.85,7595.9,7623.2
07-07-2014,7780.4,7792,7755.1,7787.1
04-07-2014,7718.1,7758,7661.3,7751.6
03-07-2014,7734.35,7754.65,7706.8,7714.8
02-07-2014,7683.05,7732.4,7677.3,7725.1
01-07-2014,7629,7649.5,7618.15,7634.7
30-06-2014,7534.05,7623.65,7531.6,7611.3
27-06-2014,7514.2,7538.75,7482.3,7508.8
26-06-2014,7554.1,7570.2,7481.3,7493.2
25-06-2014,7588.55,7589.25,7557.05,7569.2
24-06-2014,7515.2,7593.35,7515.2,7580.2
23-06-2014,7514,7534.8,7441.6,7493.3
20-06-2014,7543.3,7560.55,7497.3,7511.4
19-06-2014,7580.05,7606.45,7502.55,7540.7
18-06-2014,7636.05,7663,7515.5,7558.2
17-06-2014,7525.05,7637.6,7509.25,7631.7
16-06-2014,7534.8,7548.6,7487.55,7533.5
13-06-2014,7668.2,7678.5,7525.35,7542.1
12-06-2014,7641.3,7658,7593.8,7649.9
11-06-2014,7672.4,7700.05,7589.05,7626.8
10-06-2014,7679.05,7683.2,7579.3,7656.4
09-06-2014,7621.65,7673.7,7580.25,7654.6
06-06-2014,7521.5,7592.7,7497.65,7583.4
05-06-2014,7399.75,7484.7,7360.5,7474.1
04-06-2014,7417.55,7433.3,7391.35,7402.2
03-06-2014,7375.35,7424.95,7342.15,7415.8
02-06-2014,7264.05,7368.6,7239.5,7362.5
30-05-2014,7254.85,7272.5,7118.45,7229.9
29-05-2014,7316.6,7325.4,7224.4,7235.6
28-05-2014,7324.95,7344.75,7302.6,7329.6
27-05-2014,7363.1,7372.95,7274.75,7318
26-05-2014,7428.75,7504,7269.05,7359
23-05-2014,7306.5,7381,7293.9,7367.1
22-05-2014,7289.95,7319.55,7258.15,7276.4
21-05-2014,7274.85,7287.15,7206.7,7252.9
20-05-2014,7309.95,7353.65,7247.7,7275.5
19-05-2014,7276.85,7291.1,7193.55,7263.5
16-05-2014,7270.2,7563.5,7130.65,7203
15-05-2014,7111.3,7152.55,7082.55,7123.1
14-05-2014,7112,7142.25,7080.9,7108.7
13-05-2014,7080,7172.35,7067.15,7108.7
12-05-2014,6863.4,7020.05,6862.9,7014.2
09-05-2014,6654.15,6871.35,6652.15,6858.8
08-05-2014,6669.9,6688.4,6638.55,6659.8
07-05-2014,6708.6,6718.75,6642.9,6652.5
06-05-2014,6719.25,6743.45,6701.9,6715.3
05-05-2014,6681.65,6741.05,6680.45,6699.3
02-05-2014,6709.95,6737.65,6689.5,6694.8
30-04-2014,6724.95,6780.15,6656.8,6696.4
29-04-2014,6769,6779.7,6708.65,6715.2
28-04-2014,6778.55,6786.25,6750.3,6761.2
25-04-2014,6855.8,6869.85,6772.85,6782.7
23-04-2014,6823.25,6861.6,6820.75,6840.8
22-04-2014,6822.9,6838,6806.25,6815.3
21-04-2014,6789.25,6825.45,6786.9,6817.6
17-04-2014,6695.45,6783.05,6684.4,6779.4
16-04-2014,6727.25,6748.65,6665.15,6675.3
15-04-2014,6792.7,6813.4,6711.75,6733.1
11-04-2014,6758.35,6789.35,6743.15,6776.3
10-04-2014,6803.05,6819.05,6777.3,6796.4
09-04-2014,6722,6808.7,6705.1,6796.2
07-04-2014,6694.25,6725.15,6650.4,6695
04-04-2014,6741.85,6741.85,6685.15,6694.3
03-04-2014,6772.05,6776.75,6696.9,6736.1
02-04-2014,6757.6,6763.5,6723.6,6752.5
01-04-2014,6729.5,6732.25,6675.45,6721
31-03-2014,6723.15,6730.05,6662.4,6704.2
28-03-2014,6673.05,6702.6,6643.8,6695.9
27-03-2014,6613.1,6673.95,6599.5,6641.7
26-03-2014,6615.65,6627.45,6580.6,6601.4
25-03-2014,6550.1,6595.55,6544.85,6589.7
24-03-2014,6510.5,6591.5,6510.5,6583.5
22-03-2014,6497.8,6502.65,6481.35,6494.9
21-03-2014,6515.2,6522.9,6485.7,6493.2
20-03-2014,6508.35,6523.65,6473.25,6483.1
19-03-2014,6530,6541.2,6506,6524
18-03-2014,6532.45,6574.95,6497.65,6516.6
14-03-2014,6447.25,6518.45,6432.7,6504.2
13-03-2014,6491.75,6561.45,6476.65,6493.1
12-03-2014,6497.5,6546.15,6487.3,6516.9
11-03-2014,6537.35,6562.85,6494.25,6511.9
10-03-2014,6491.7,6562.2,6487.35,6537.2
07-03-2014,6413.95,6537.8,6413.55,6526.6
06-03-2014,6344.75,6406.6,6339.7,6401.1
05-03-2014,6328.45,6336.25,6287.8,6328.6
04-03-2014,6216.75,6302.15,6215.7,6297.9
03-03-2014,6264.35,6277.75,6212.25,6221.4
28-02-2014,6228.45,6282.7,6228.1,6276.9
26-02-2014,6202.45,6245.95,6202.1,6238.8
25-02-2014,6205.7,6216.85,6176.6,6200
24-02-2014,6140.95,6191.85,6130.8,6186.1
21-02-2014,6108.3,6159.65,6108,6155.4
20-02-2014,6127.15,6129.1,6086.45,6091.4
19-02-2014,6132.05,6160.35,6125.75,6152.7
18-02-2014,6071.3,6141.7,6066.8,6127.1
17-02-2014,6057.1,6080.65,6038.3,6073.3
14-02-2014,6023.75,6056.4,5984.6,6048.3
13-02-2014,6087.55,6094.4,5991.1,6001.1
12-02-2014,6085.35,6106.6,6077.4,6084
11-02-2014,6072.45,6081.85,6053.25,6062.7
10-02-2014,6072.8,6083.05,6046.4,6053.4
07-02-2014,6077.65,6079.95,6030.9,6063.2
06-02-2014,6028.35,6048.35,5965.4,6036.3
05-02-2014,6004.25,6028.05,5962.05,6022.4
04-02-2014,5947.6,6017.8,5933.3,6000.9
03-02-2014,6058.8,6074.85,5994.45,6001.8
31-01-2014,6082.75,6097.85,6067.35,6089.5
30-01-2014,6067,6082.85,6027.25,6073.7
29-01-2014,6161,6170.45,6109.8,6120.2
28-01-2014,6131.85,6163.6,6085.95,6126.2
27-01-2014,6186.3,6188.55,6130.25,6135.8
24-01-2014,6301.65,6331.45,6263.9,6266.7
23-01-2014,6325.95,6355.6,6316.4,6345.6
22-01-2014,6309.05,6349.95,6287.45,6338.9
21-01-2014,6320.15,6330.3,6297.9,6313.8
20-01-2014,6261.75,6307.45,6243.35,6303.9
17-01-2014,6306.25,6327.1,6246.35,6261.6
16-01-2014,6341.35,6346.5,6299.85,6318.9
15-01-2014,6265.95,6325.2,6265.3,6320.9
14-01-2014,6260.25,6280.35,6234.15,6241.8
13-01-2014,6189.55,6288.2,6189.55,6272.7
10-01-2014,6178.85,6239.1,6139.6,6171.4
09-01-2014,6181.7,6188.05,6148.25,6168.3
08-01-2014,6178.05,6192.1,6160.35,6174.6
07-01-2014,6203.9,6221.5,6144.75,6162.2
06-01-2014,6220.85,6224.7,6170.25,6191.4
03-01-2014,6194.55,6221.7,6171.25,6211.1
02-01-2014,6301.25,6358.3,6211.3,6221.1
01-01-2014,6323.8,6327.2,6298.25,6301.6
